_id,OBJECTID,PROJ_NUM,LAST_UPDATED_DATE,PROJECT,LOCATION,DETAILS,DURATION/ Construction Timeline,STATUS,INV_PRIORITY,OWNER,CONTACT_NAME,CONTACT_EMAIL,INV_WEB_SITE,INV_DISPLAY_PROGRAM,INV_DISPLAY_SYMBOL,START_YEAR,CONTR_NUMBER,geometry
1,53,None,2025-06-23,Sidewalk Construction,RIDELLE AVE&lt;br&gt; From: OLD PARK RD&lt;br&gt; To: [55m E] BATHURST ST ,Installation of new sidewalks where none existed before.,Q2 2026 - Q4 2027,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4329379219645,43.7058281737977],[-79.4317888655127,43.7060724005234],[-79.43063717047,43.7063155429347],[-79.4285835861986,43.7067692737433],[-79.4275119707644,43.7069776438251]]}"
2,69,None,2025-07-10,Sidewalk Construction,JOYCE PKWY &lt;br&gt; From: MARIANFELD AVE&lt;br&gt; To: [JOYCE PUBLIC SCHOOL] ,Installation of new sidewalks where none existed before.,2026 - 2027,Active,None,Transportation Services,"Jessica Orjuela, Engineering and Construction Services",jorjuel@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4615017642233,43.7100476295624],[-79.4620475567942,43.7099262931788],[-79.4625947569956,43.7098046450034],[-79.4630704339415,43.709702226632],[-79.4636055400266,43.7095870101119]]}"
3,670,TS2023-22-043,2025-10-28,Sidewalk Construction,ROSS AVE&lt;br&gt; From: AGINCOURT DR&lt;br&gt; To: DONALDA CRES ,Installation of new sidewalks where none existed before.,Q3 2027 - Q4 2028,Active,None,Transportation Services,"Adriana Gomez, Engineering and Construction Services",AGOMEZ4@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.2830727517493,43.7861306177798],[-79.2811764009126,43.7865681335106]]}"
4,671,None,2025-10-28,Sidewalk Construction,HILL GARDEN RD&lt;br&gt; From: FREEMONT AVE&lt;br&gt; To: [82 m W] FREEMONT AVE ,Installation of new sidewalks where none existed before.,Q3 2027 - Q4 2028,Active,None,Transportation Services,"Adriana Gomez, Engineering and Construction Services",AGOMEZ4@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5228314719981,43.6951354228612],[-79.5227421613869,43.6951708355394],[-79.5226395776228,43.6952092707102],[-79.5225349818333,43.6952585113342],[-79.5224395692948,43.6953128168861],[-79.5224050377791,43.6953362351154],[-79.5223467017576,43.6953758000041],[-79.5222538808573,43.6954345875356],[-79.5221680106039,43.6954996664451],[-79.5220981600642,43.6955754789321],[-79.522076626852,43.6956150572636]]}"
5,689,None,2025-10-28,Sidewalk Construction,HILL GARDEN RD&lt;br&gt; From: FREEMONT AVE&lt;br&gt; To: SCARLETT RD ,Installation of new sidewalks where none existed before.,Q3 2027 - Q4 2028,Active,None,Transportation Services,"Adriana Gomez, Engineering and Construction Services",AGOMEZ4@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5220344145314,43.6957400735191],[-79.5220331139748,43.6957457049765],[-79.5220330458508,43.6957460011321],[-79.5219723472386,43.6957859335348],[-79.5218833105936,43.6958214174957],[-79.5214269586262,43.6959658585268],[-79.5212787974598,43.6960127595169],[-79.5211508530079,43.6960461087353],[-79.5210647165348,43.6960866439438]]}"
6,883,TS2023-24_25-325,2025-09-18,Sidewalk Construction,ELLESMERE RD&lt;br&gt; From: ELLESMERE RD [Branch]&lt;br&gt; To: KINGSTON RD ,Installation of new sidewalks where none existed before.,Q2 2027 - Q4 2028,Active,None,Transportation Services,"Shams Khan, Engineering and Construction Services",skhan5@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.1545965249744,43.7935798296042],[-79.1551088729735,43.7940050581174],[-79.1552537409418,43.794123128218],[-79.1553094685718,43.7941629444652],[-79.1553721531685,43.7941991812122],[-79.1554413847081,43.7942313988568],[-79.1555709514414,43.7942779840789]]}"
7,2280,None,2026-02-20,Sidewalk Construction,CASEBRIDGE CRT &lt;br&gt; From: MORNINGSIDE AVE&lt;br&gt; To: VENTURE DR ,Installation of new sidewalks where none existed before.,Q2 2027 - Q4 2027,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.2027244047142,43.8089342918676],[-79.2002443624937,43.8095062431256]]}"
8,2652,None,2026-02-18,Sidewalk Construction,BARBERRY PL&lt;br&gt; From: SHEPPARD AVE&lt;br&gt; To: [115 m S] SHEPPARD AVE ,Installation of new sidewalks where none existed before.,2026 - 2027,Active,None,Transportation Services,"Matthew McAinsh, Engineering and Construction Services",mmcains@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3849859343774,43.7674106640403],[-79.3845908531735,43.7664533147442]]}"
9,3240, ,2026-04-15,Sidewalk Construction,ORCHARD PARK DR&lt;br&gt; From: KINGSTON RD&lt;br&gt; To: WEST HILL DR ,Installation of new sidewalks where none existed before.,Q2 2026 - Q4 2026,Active,None,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.1793273630366,43.7746799814392],[-79.1793724937866,43.7747707128139],[-79.1794136503585,43.7748287408155],[-79.1794531636817,43.7748595347893],[-79.1795028874367,43.7748832464663],[-79.1795664299426,43.7748966815375],[-79.1796418076897,43.7748990774229],[-79.1798225588095,43.7749044031346],[-79.1804253829807,43.7748996607445],[-79.1810603904613,43.7749045237125],[-79.1817180624308,43.7749199236184]]}"
10,3241, ,2026-04-15,Sidewalk Construction,CHEMICAL CRT&lt;br&gt; From: [305 m S] CORONATION DR [CUL-DE-SAC]&lt;br&gt; To: CORONATION DR ,Installation of new sidewalks where none existed before.,Q2 2026 - Q4 2026,Active,None,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.1620622871605,43.7627011717355],[-79.1622774220258,43.7632646970804],[-79.1625531024077,43.7639405985815],[-79.1629828782256,43.7649679518757],[-79.1632110474337,43.7655356839205]]}"
11,3543,None,2021-03-25,Sidewalk Construction,BELLFONTAINE ST&lt;br&gt; From: [50 m N] BELLBROOK RD&lt;br&gt; To: [285 m S] BELLBROOK RD ,Installation of new sidewalks where none existed before.,Q3 2025 - Q4 2025,Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.291284028399,43.8005155455603],[-79.291259220176,43.8004485409111],[-79.29121183499,43.8002234263161],[-79.2911905323918,43.8000883705696],[-79.2911668054241,43.7999893148748],[-79.2908015094717,43.7991605345169],[-79.2901673141579,43.7977101818594],[-79.2900965434225,43.797543099023]]}"
12,3897,None,2023-03-14,Sidewalk Construction,WESTGATE BLVD&lt;br&gt; From: DELHI AVE&lt;br&gt; To: ARMOUR BLVD ,Installation of new sidewalks where none existed before.,Q1 2023 - Q3 2026 (Carry-Over),Active,None,Transportation Services,"Thomas Burgwin, Engineering and Construction Services",tburgwi@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2023,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4313388694002,43.7404443594202],[-79.4313074409823,43.7405959912658],[-79.431281811005,43.7408696614988],[-79.4312583358171,43.7410806269267],[-79.4312586902672,43.7413774098789],[-79.4312501748633,43.7416006898458],[-79.4312652331724,43.7416812363888],[-79.43125886527,43.7418657547977],[-79.4312763387193,43.74210019568],[-79.4312987796202,43.7423347484506],[-79.4313108864556,43.7424961349194],[-79.4313008186651,43.7426036492856],[-79.4312975370018,43.7427156773367],[-79.431254254155,43.7429345266533],[-79.4312230930336,43.7431268089545],[-79.4311708312511,43.7432637885784]]}"
13,3963,None,2023-08-10,Sidewalk Construction,EDGEBROOK DR&lt;br&gt; From: BANKFIELD DR&lt;br&gt; To: [30M W] BANKFIELD DR ,Installation of new sidewalks where none existed before.,Q1 2024 - Q2 2025 (Carry-Over),Active,None,Transportation Services,"Fernando Eyzaguirre Garcia, Engineering and Construction Services",feyzagu@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2024,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5547826588502,43.7330271180475],[-79.5542979915993,43.7329571064097]]}"
14,3965,None,2023-06-13,Sidewalk Construction,SUN AVE&lt;br&gt; From: TOWER DR&lt;br&gt; To: MANHATTAN DR ,Installation of new sidewalks where none existed before.,Q2 2026 - Q4 2026,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3007018768359,43.7500317857522],[-79.3004441163785,43.7500673453189],[-79.3001413289525,43.7501028264801],[-79.2997477077567,43.7501471606356],[-79.2993885086827,43.7501777577158]]}"
