_id,OBJECTID,PROJ_NUM,LAST_UPDATED_DATE,PROJECT,LOCATION,DETAILS,DURATION/ Construction Timeline,STATUS,INV_PRIORITY,OWNER,CONTACT_NAME,CONTACT_EMAIL,INV_WEB_SITE,INV_DISPLAY_PROGRAM,INV_DISPLAY_SYMBOL,START_YEAR,CONTR_NUMBER,geometry
1,170,,2025-10-14,Local Road Rehabilitation,CARLTON ST&lt;br&gt; From: BOWMAN ST&lt;br&gt; To: RAWLINGS AVE,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q1 2025 - Q3 2025,Active,,Transportation Services,"Jessica Orjuela, Engineering and Construction Services",jorjuel@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3638396631037,43.6654072533266],[-79.3632393117332,43.6655390894353]]}"
2,304,,2025-09-10,Local Road Rehabilitation,WINONA DR&lt;br&gt; From: [E] GLOUCESTER GRV [BRANCH]&lt;br&gt; To: LANARK AVE,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2025 - Q4 2025,Active,,Transportation Services,"Cherry Chen, Engineering and Construction Services",cchen9@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4384007794188,43.6965537587194],[-79.438721019606,43.6972723920108]]}"
3,309,TS2023-10_11-435,2025-09-05,Local Road Reconstruction,AUGUSTA AVE&lt;br&gt; From: WALES AVE&lt;br&gt; To: DENISON SQ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2027 - Q4 2028,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Steven Bertolo, Engineering and Construction Services",sbertol@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4015688258877,43.6533468153691],[-79.4017770621429,43.6538823519038]]}"
4,329,,2025-10-31,Local Road Rehabilitation,WALES AVE&lt;br&gt; From: BELLEVUE AVE&lt;br&gt; To: LEONARD AVE,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q2 2027 - Q4 2028,Active,,Transportation Services,"Steven Bertolo, Engineering and Construction Services",sbertol@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4029094143391,43.6530886876627],[-79.403221472379,43.6530196310293],[-79.4033423418426,43.6529970309717],[-79.4042150473904,43.652833895848]]}"
5,427,,2025-10-31,Laneway Reconstruction,[195.70 m N] DAVENPORT RD&lt;br&gt; From: ST CLARENS AVE&lt;br&gt; To: [36.10 m W] ST CLARENS AVE,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2027 - Q4 2028,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Adriana Gomez, Engineering and Construction Services",AGOMEZ4@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4481827185954,43.6734808102383],[-79.4487804363014,43.6733499753259]]}"
6,492,,2025-10-14,Local Road Rehabilitation,REGENT ST&lt;br&gt; From: SHUTER ST&lt;br&gt; To: SUTTON AVE,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2025 - Q4 2026,Active,,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3635196654214,43.6572869062608],[-79.3636245791047,43.6575166189766],[-79.3637305759413,43.6577737410838],[-79.3637847207681,43.6579141528371]]}"
7,500,,2025-10-14,Local Road Rehabilitation,CARLTON ST&lt;br&gt; From: WOODSTOCK PL&lt;br&gt; To: BOWMAN ST,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q1 2025 - Q3 2025,Active,,Transportation Services,"Jessica Orjuela, Engineering and Construction Services",jorjuel@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3645021590854,43.6652537495124],[-79.3644791353327,43.6652587809706],[-79.3644459028372,43.6652660785571],[-79.3638396631037,43.6654072533266]]}"
8,501,,2025-10-14,Local Road Rehabilitation,REGENT ST&lt;br&gt; From: SUTTON AVE&lt;br&gt; To: ST DAVID WALK,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2025 - Q4 2026,Active,,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3637847207681,43.6579141528371],[-79.3640219901551,43.6585296828335]]}"
9,523,,2025-10-14,Local Road Rehabilitation,CARLTON ST&lt;br&gt; From: METCALFE ST&lt;br&gt; To: DERMOTT PL,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q1 2025 - Q3 2025,Active,,Transportation Services,"Jessica Orjuela, Engineering and Construction Services",jorjuel@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3667013421698,43.6647859999478],[-79.3665810096809,43.6648000780788]]}"
10,619,,2025-10-31,Laneway Reconstruction,[40 m S] ST CLAIR AVE W&lt;br&gt; From: [39 m E] LANSDOWNE AVE (TO)&lt;br&gt; To: LANSDOWNE AVE (TO),"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2027 - Q4 2028,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Adriana Gomez, Engineering and Construction Services",AGOMEZ4@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4503959602035,43.6758632648315],[-79.4499284342664,43.6759758574483]]}"
